"location","year","unemployment rate"
"Hawaii",2018,0
"Maine",2018,3
"Kentucky",2018,4
"Arizona",2018,3
"Oregon",2018,5
"Montana",2018,9
"New Mexico",2018,1
"Iowa",2018,3
"Colorado",2018,1
"Minnesota",2018,4
"North Carolina",2018,7
"Michigan",2018,3
"South Carolina",2018,7
"Utah",2018,1
"Washington",2018,4
"Tennessee",2018,6
"Idaho",2018,5
"Utah",2018,4
"Minnesota",2018,3
"Arkansas",2018,5
"Ohio",2018,6
"South Dakota",2018,4
"Kansas",2018,1
"Maryland",2018,4
"Alabama",2018,5
"Pennsylvania",2018,2
"West Virginia",2018,2
"South Dakota",2018,2
"Texas",2018,6
"Wyoming",2018,4
"Iowa",2018,5
"Texas",2018,10
"Maryland",2018,6
"New Jersey",2018,3
"Hawaii",2018,3
"Nebraska",2018,5
"Virginia",2018,6
"West Virginia",2018,3
"Maryland",2018,5
"Arizona",2018,5
"Montana",2018,7
"Nevada",2018,6
"Virginia",2018,1
"Minnesota",2018,5
"Idaho",2018,4
"Arkansas",2018,3
"Florida",2018,4
"New Mexico",2018,2
"Ohio",2018,5
"Wisconsin",2018,2
"Oklahoma",2018,2
"Alaska",2018,6
"South Carolina",2018,4
"Louisiana",2018,4
"Florida",2018,2
"West Virginia",2018,5
"Florida",2018,1
"California",2018,2
"New York",2018,5
"South Dakota",2018,11
"Arkansas",2018,4
"Minnesota",2018,2
"South Dakota",2018,5
"New Jersey",2018,4
"Louisiana",2018,3
"Ohio",2018,3
"Kansas",2018,4
"Montana",2018,8
"Pennsylvania",2018,3
"Oregon",2018,2
"California",2018,4
"Oregon",2018,7
"Louisiana",2018,2
"Rhode Island",2018,4
"South Dakota",2018,6
"Ohio",2018,1
"Wyoming",2018,3
"Virginia",2018,5
"Florida",2018,3
"Pennsylvania",2018,6
"Massachusetts",2018,5
"Georgia",2018,7
"Georgia",2018,1
"Tennessee",2018,5
"Tennessee",2018,4
"Oklahoma",2018,3
"Wisconsin",2018,5
"South Dakota",2018,15
"Kentucky",2018,7
"Louisiana",2018,7
"Rhode Island",2018,2
"Tennessee",2018,3
"North Dakota",2018,3
"New Jersey",2018,5
"Pennsylvania",2018,5
"Nebraska",2018,1
"Kentucky",2018,6
"Iowa",2018,2
"Tennessee",2018,2
"Arizona",2018,4
"District of Columbia",2018,5
"California",2018,5
"New Hampshire",2018,2
"Montana",2018,4
"Oklahoma",2018,1
"Minnesota",2018,1
"Missouri",2018,2
"Oregon",2018,3
"Utah",2018,5
"Connecticut",2018,5
"Illinois",2018,6
"New Hampshire",2018,3
"New Mexico",2018,5
"Nebraska",2018,10
"Mississippi",2018,5
"Montana",2018,2
"North Dakota",2018,2
"Colorado",2018,3
"Mississippi",2018,4
"Colorado",2018,4
"Washington",2018,5
"Colorado",2018,5
"Iowa",2018,4
"Missouri",2018,4
"Maine",2018,2
"Wisconsin",2018,4
"Alaska",2018,2
"Wisconsin",2018,1
"Georgia",2018,4
"Massachusetts",2018,3
"New Mexico",2018,8
"Massachusetts",2018,2
"Kansas",2018,3
"Oregon",2018,4
"Nevada",2018,0
"Pennsylvania",2018,1
"Montana",2018,3
"Maine",2018,4
"Idaho",2018,1
"Montana",2018,0
"Nevada",2018,3
"Alaska",2018,8
"Virginia",2018,7
"Michigan",2018,2
"New Mexico",2018,6
"Louisiana",2018,5
"Mississippi",2018,14
"New Jersey",2018,6
"Texas",2018,7
"Michigan",2018,5
"Vermont",2018,3
"Indiana",2018,2
"Texas",2018,1
"Washington",2018,2
"Missouri",2018,1
"North Carolina",2018,3
"Texas",2018,0
"Oklahoma",2018,4
"Alabama",2018,4
"West Virginia",2018,4
"New Mexico",2018,0
"Nebraska",2018,2
"Ohio",2018,2
"Alaska",2018,7
"Kansas",2018,2
"Alabama",2018,2
"New Mexico",2018,3
"Alabama",2018,7
"Utah",2018,3
"New York",2018,4
"Mississippi",2018,8
"South Dakota",2018,7
"Virginia",2018,2
"Alaska",2018,5
"Utah",2018,2
"Michigan",2018,6
"South Dakota",2018,1
"Colorado",2018,7
"Alaska",2018,12
"Rhode Island",2018,3
"Mississippi",2018,7
"Alabama",2018,3
"New Mexico",2018,4
"Kentucky",2018,1
"Ohio",2018,4
"Wyoming",2018,2
"Idaho",2018,2
"Pennsylvania",2018,4
"Alaska",2018,11
"Alabama",2018,6
"Kentucky",2018,3
"South Carolina",2018,5
"Arkansas",2018,2
"Idaho",2018,3
"Illinois",2018,4
"Indiana",2018,3
"Colorado",2018,6
"Connecticut",2018,4
"Missouri",2018,5
"Arizona",2018,7
"South Dakota",2018,17
"Virginia",2018,10
"Indiana",2018,5
"New York",2018,6
"Texas",2018,8
"Nebraska",2018,0
"Nebraska",2018,3
"Alabama",2018,8
"California",2018,3
"Maryland",2018,2
"North Dakota",2018,0
"Maine",2018,5
"Mississippi",2018,2
"Illinois",2018,3
"Nevada",2018,1
"North Carolina",2018,2
"Virginia",2018,4
"Illinois",2018,8
"Indiana",2018,4
"South Dakota",2018,3
"Georgia",2018,8
"Indiana",2018,1
"North Carolina",2018,4
"Massachusetts",2018,4
"Wyoming",2018,1
"Delaware",2018,3
"Georgia",2018,5
"California",2018,6
"Nevada",2018,8
"Alaska",2018,4
"Georgia",2018,2
"Alaska",2018,3
"North Dakota",2018,1
"South Dakota",2018,0
"West Virginia",2018,7
"Missouri",2018,3
"Vermont",2018,4
"Utah",2018,0
"Arkansas",2018,6
"California",2018,9
"Texas",2018,3
"Georgia",2018,3
"Florida",2018,5
"Texas",2018,2
"Colorado",2018,2
"Nevada",2018,4
"South Carolina",2018,3
"Virginia",2018,3
"Louisiana",2018,6
"Kentucky",2018,2
"Mississippi",2018,10
"Connecticut",2018,3
"North Dakota",2018,9
"California",2018,8
"Kansas",2018,5
"Virginia",2018,14
"New York",2018,3
"Maryland",2018,3
"North Dakota",2018,4
"Missouri",2018,6
"Kentucky",2018,5
"Texas",2018,4
"North Carolina",2018,6
"Arkansas",2018,1
"South Carolina",2018,6
"Mississippi",2018,6
"Idaho",2018,6
"Washington",2018,3
"Montana",2018,1
"Vermont",2018,2
"Delaware",2018,4
"Wisconsin",2018,3
"Oklahoma",2018,5
"Montana",2018,5
"Texas",2018,5
"Georgia",2018,6
"Illinois",2018,2
"Virginia",2018,8
"Texas",2018,9
"Nebraska",2018,4
"Nevada",2018,5
"North Carolina",2018,1
"Illinois",2018,5
"Nevada",2018,2
"North Carolina",2018,5
"Michigan",2018,4
"West Virginia",2018,6
"Iowa",2018,1
"New York",2018,2
"Virginia",2018,0
"Mississippi",2018,3
